Unnamed: 0,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,day,month,year,DayOfWeek,Predicted_Sales
0,415,7,0,0,0,0,0,0,0,0,0,0.0
0,27,7,0,0,0,0,0,0,0,0,0,0.0
0,404,3,657,1,1,0,0,0,0,0,0,6372.42
0,683,2,862,1,0,0,0,0,0,0,0,7590.76
0,920,3,591,1,1,0,0,0,0,0,0,6423.68
0,758,4,569,1,0,0,0,0,0,0,0,5066.22
0,563,1,321,1,1,0,0,0,0,0,0,3414.36
0,930,6,1367,1,0,0,0,0,0,0,0,7723.34
0,756,4,0,0,1,1,0,0,0,0,0,0.0
0,49,2,546,1,1,0,0,0,0,0,0,7239.37
0,787,4,968,1,0,0,1,0,0,0,0,8154.87
0,782,4,472,1,0,0,0,0,0,0,0,4454.81
0,897,7,0,0,0,0,0,0,0,0,0,0.0
0,933,1,965,1,0,0,0,0,0,0,0,7457.84
0,218,2,804,1,0,0,1,0,0,0,0,6800.52
0,554,3,499,1,1,0,1,0,0,0,0,4848.46
0,362,1,1337,1,1,0,1,0,0,0,0,12992.89
0,655,3,560,1,0,0,0,0,0,0,0,5419.28
0,785,3,461,1,0,0,1,0,0,0,0,4376.97
0,690,3,866,1,1,0,0,0,0,0,0,8789.72
0,1103,7,0,0,0,0,0,0,0,0,0,0.0
0,431,1,1367,1,1,0,0,0,0,0,0,14249.95
0,127,2,642,1,1,0,0,0,0,0,0,6697.89
0,579,5,0,0,1,2,1,0,0,0,0,0.0
0,248,6,1139,1,0,0,0,0,0,0,0,8807.61
0,962,6,0,0,0,0,0,0,0,0,0,0.0
0,224,2,515,1,1,0,1,0,0,0,0,6181.02
0,208,3,355,1,1,0,1,0,0,0,0,2945.46
0,401,1,1063,1,1,0,0,0,0,0,0,11625.08
0,503,7,0,0,0,0,0,0,0,0,0,0.0
0,221,4,562,1,1,0,0,0,0,0,0,6371.15
0,268,7,0,0,0,0,0,0,0,0,0,0.0
0,799,2,927,1,1,0,1,0,0,0,0,10194.02
0,260,6,894,1,0,0,0,0,0,0,0,7852.96
0,1041,2,594,1,0,0,0,0,0,0,0,5048.55
0,350,2,533,1,1,0,0,0,0,0,0,7195.56
0,286,7,0,0,0,0,0,0,0,0,0,0.0
0,620,2,709,1,1,0,0,0,0,0,0,7868.25
0,521,1,484,1,1,0,0,0,0,0,0,6191.44
0,649,4,435,1,1,0,0,0,0,0,0,4322.35
0,1059,2,1239,1,1,0,0,0,0,0,0,10964.24
0,486,6,373,1,0,0,0,0,0,0,0,3639.02
0,252,4,642,1,0,0,0,0,0,0,0,7157.38
0,656,3,421,1,1,0,0,0,0,0,0,3739.96
0,642,5,394,1,0,0,0,0,0,0,0,3198.87
0,655,5,761,1,1,0,0,0,0,0,0,8398.77
0,992,3,627,1,0,0,0,0,0,0,0,5218.72
0,143,2,731,1,1,0,0,0,0,0,0,7753.35
0,421,5,941,1,1,0,1,0,0,0,0,10272.2
0,246,4,1157,1,1,0,0,0,0,0,0,11663.92
0,960,1,720,1,1,0,0,0,0,0,0,7813.98
0,313,5,697,1,0,0,0,0,0,0,0,6408.6
0,291,6,534,1,0,0,0,0,0,0,0,5175.53
0,924,6,333,1,0,0,0,0,0,0,0,2961.07
0,337,2,430,1,1,0,1,0,0,0,0,5498.74
0,1024,4,607,1,0,0,0,0,0,0,0,4685.13
0,56,3,402,1,1,0,0,0,0,0,0,6069.37
0,507,3,532,1,0,0,0,0,0,0,0,5612.27
0,970,5,406,1,0,0,0,0,0,0,0,3274.43
0,846,2,828,1,0,0,0,0,0,0,0,7294.46
0,549,3,582,1,0,0,0,0,0,0,0,5329.08
0,1095,4,852,1,1,0,1,0,0,0,0,8572.87
0,859,5,709,1,1,0,0,0,0,0,0,7263.21
0,914,2,1178,1,1,0,1,0,0,0,0,11896.61
0,888,2,634,1,0,0,0,0,0,0,0,5966.49
0,442,2,517,1,1,0,0,0,0,0,0,5823.18
0,34,6,905,1,0,0,0,0,0,0,0,8344.97
0,199,4,581,1,0,0,0,0,0,0,0,5864.14
0,854,4,657,1,1,1,0,0,0,0,0,6482.39
0,611,2,485,1,1,0,0,0,0,0,0,6112.75
0,808,4,528,1,0,0,1,0,0,0,0,5384.46
0,1105,4,410,1,0,0,0,0,0,0,0,3729.76
0,866,5,445,1,0,0,0,0,0,0,0,5551.23
0,222,6,367,1,0,0,0,0,0,0,0,3764.69
0,476,2,753,1,1,0,0,0,0,0,0,7419.61
0,800,1,494,1,0,0,0,0,0,0,0,4942.02
0,330,1,408,1,0,0,0,0,0,0,0,3637.78
0,507,3,648,1,1,0,0,0,0,0,0,7264.56
0,98,7,0,0,0,0,0,0,0,0,0,0.0
0,1026,2,1044,1,0,0,0,0,0,0,0,7558.27
0,990,5,719,1,0,0,0,0,0,0,0,7027.16
0,8,6,345,1,0,0,0,0,0,0,0,3224.91
0,611,3,566,1,1,0,1,0,0,0,0,6328.15
0,257,2,777,1,1,0,0,0,0,0,0,7585.15
0,840,4,1189,1,1,0,0,0,0,0,0,10794.44
0,848,5,998,1,1,0,1,0,0,0,0,9519.04
0,124,6,297,1,0,0,0,0,0,0,0,2796.65
0,1028,2,438,1,0,0,1,0,0,0,0,3594.5
0,95,2,1099,1,1,0,0,0,0,0,0,10147.27
0,208,1,323,1,0,0,0,0,0,0,0,2169.73
0,249,2,449,1,0,0,0,0,0,0,0,4633.67
0,887,3,614,1,1,0,0,0,0,0,0,6696.01
0,73,1,601,1,1,0,1,0,0,0,0,6474.3
0,13,4,501,1,1,0,1,0,0,0,0,5534.24
0,1049,2,580,1,0,0,1,0,0,0,0,4141.39
0,144,4,769,1,1,0,0,0,0,0,0,8361.2
0,847,3,1018,1,1,0,1,0,0,0,0,8784.84
0,796,3,717,1,0,0,0,0,0,0,0,6492.24
0,396,4,1139,1,0,0,0,0,0,0,0,9072.94
0,1080,7,0,0,0,0,0,0,0,0,0,0.0
0,675,5,338,1,0,0,0,0,0,0,0,2734.19
0,1099,1,1236,1,1,0,0,0,0,0,0,12602.16
0,791,1,858,1,0,0,0,0,0,0,0,7327.58
0,1014,2,1476,1,0,0,0,0,0,0,0,11741.93
